,name,company,year,Price,kms_driven,fuel_type,transmission
0,Mahindra Jeep CL550,Mahindra,2006,525000,40,Diesel,Automatic
1,Hyundai Grand i10,Hyundai,2014,425000,28000,Petrol,Automatic
2,Hyundai Eon,Hyundai,2013,290000,25000,Petrol,Automatic
3,Maruti Suzuki Alto,Maruti,2015,350000,60000,Petrol,Automatic
4,Maruti Suzuki Stingray,Maruti,2015,415000,30000,Petrol,Automatic
5,Mahindra Scorpio SLE,Mahindra,2015,420000,48660,Diesel,Automatic
6,Mahindra Jeep CL550,Mahindra,2006,525000,40,Diesel,Automatic
7,Audi Q7,Audi,2014,600000,16934,Diesel,Automatic
8,Maruti Suzuki Alto,Maruti,2014,260000,35550,Petrol,Automatic
9,Mahindra Scorpio S10,Mahindra,2016,410000,39522,Diesel,Automatic
10,Hyundai i20 Sportz,Hyundai,2012,200000,55000,Petrol,Automatic
11,Hyundai i20 Sportz,Hyundai,2012,200000,55000,Petrol,Automatic
12,Maruti Suzuki Vitara,Maruti,2016,390000,15975,Diesel,Automatic
13,Mahindra Bolero DI,Mahindra,2017,280000,23452,Diesel,Automatic
14,Mahindra Scorpio S10,Mahindra,2015,350000,48508,Diesel,Automatic
15,Maruti Suzuki Wagon,Maruti,2013,205000,39000,Petrol,Automatic
16,Toyota Innova 2.0,Toyota,2012,750000,82000,Diesel,Automatic
17,Skoda Yeti Ambition,Skoda,2012,548000,68000,Diesel,Automatic
18,Renault Duster 110,Renault,2012,601000,38000,Diesel,Automatic
19,Honda City 1.5,Honda,2011,380000,33000,Petrol,Automatic
20,Maruti Suzuki Dzire,Maruti,2013,449999,46000,Diesel,Automatic
21,Honda Amaze 1.5,Honda,2015,445000,36000,Diesel,Automatic
22,Datsun Redi GO,Datsun,2017,335000,16000,Petrol,Automatic
23,Mitsubishi Pajero Sport,Mitsubishi,2015,1575000,47000,Diesel,Automatic
24,Maruti Suzuki Swift,Maruti,2014,485000,35522,Diesel,Automatic
25,Maruti Suzuki Swift,Maruti,2017,280000,15487,Petrol,Automatic
26,Maruti Suzuki Wagon,Maruti,2013,205000,39000,Petrol,Automatic
27,Maruti Suzuki Swift,Maruti,2017,320000,30874,Petrol,Automatic
28,Maruti Suzuki Wagon,Maruti,2013,185000,29685,Petrol,Automatic
29,Hyundai Eon,Hyundai,2013,290000,25000,Petrol,Automatic
30,Ford EcoSport Ambiente,Ford,2016,930000,24530,Diesel,Automatic
31,Mahindra Scorpio SLE,Mahindra,2012,670000,19000,Diesel,Automatic
32,Skoda Fabia Classic,Skoda,2010,282000,60000,Petrol,Automatic
33,Renault Duster 110PS,Renault,2012,601000,35000,Diesel,Automatic
34,Mini Cooper S,Mini,2013,1991111,13000,Petrol,Automatic
35,Skoda Fabia 1.2L,Skoda,2011,259500,38200,Diesel,Automatic
36,Honda Amaze,Honda,2015,444999,22000,Petrol,Automatic
37,Mini Cooper S,Mini,2013,1991111,13500,Petrol,Automatic
38,Mahindra Scorpio VLX,Mahindra,2014,799000,50000,Diesel,Automatic
39,Ford EcoSport,Ford,2017,589999,39000,Petrol,Automatic
40,Hyundai i20 Magna,Hyundai,2009,295000,32000,Petrol,Automatic
41,Hyundai Verna Transform,Hyundai,2008,260000,45000,Petrol,Automatic
42,Honda City 1.5,Honda,2005,190000,50000,Petrol,Automatic
43,Skoda Fabia 1.2L,Skoda,2011,255000,45863,Diesel,Automatic
