name,company,year,Price,kms_driven,fuel_type,transmission
MAHINDRA JEEP CL550 MDI,MAHINDRA,2006,"5,25,000",40 kms,Diesel,Automatic
HYUNDAI GRAND I10 MAGNA 1.2 KAPPA VTVT,HYUNDAI,2014,"4,25,000",28000 kms,Petrol,Automatic
FORD ECOSPORT TITANIUM 1.5L TDCI,FORD,2015,Ask For Price,59000 kms,Diesel,Automatic
HYUNDAI EON,HYUNDAI,2013,"2,90,000",25000 kms,Petrol,Automatic
MARUTI SUZUKI ALTO K10 VXI AMT,MARUTI,2015,"3,50,000",60000 kms,Petrol,Automatic
MARUTI SUZUKI STINGRAY VXI,MARUTI,2015,"4,15,000",30000 kms,Petrol,Automatic
MAHINDRA SCORPIO SLE BS IV,MAHINDRA,2015,"4,20,000",48660 kms,Diesel,Automatic
MAHINDRA JEEP CL550 MDI,MAHINDRA,2006,"5,25,000",40 kms,Diesel,Automatic
AUDI Q7,AUDI,2014,"6,00,000",16934 kms,Diesel,Automatic
MARUTI SUZUKI ALTO 800,MARUTI,2014,"2,60,000",35550 kms,Petrol,Automatic
MAHINDRA SCORPIO S10,MAHINDRA,2016,"4,10,000",39522 kms,Diesel,Automatic
HYUNDAI I20 SPORTZ 1.2,HYUNDAI,2012,"2,00,000",55000 kms,Petrol,Automatic
HYUNDAI I20 SPORTZ 1.2,HYUNDAI,2012,"2,00,000",55000 kms,Petrol,Automatic
MARUTI SUZUKI VITARA BREZZA ZDI,MARUTI,2016,"3,90,000",15975 kms,Diesel,Automatic
MAHINDRA BOLERO DI,MAHINDRA,2017,"2,80,000",23452 kms,Diesel,Automatic
MAHINDRA SCORPIO S10 4WD,MAHINDRA,2015,"3,50,000",48508 kms,Diesel,Automatic
MARUTI SUZUKI WAGON R VXI BS III,MARUTI,2013,"2,05,000",39000 kms,Petrol,Automatic
TOYOTA INNOVA 2.0 G 8 STR BS IV,TOYOTA,2012,"7,50,000",82000 kms,Diesel,Automatic
SKODA YETI AMBITION 2.0 TDI CR 4X2,SKODA,2012,"5,48,000",68000 kms,Diesel,Automatic
RENAULT DUSTER 110 PS RXZ DIESEL PLUS,RENAULT,2012,"6,01,000",38000 kms,Diesel,Automatic
HONDA CITY 1.5 S MT,HONDA,2011,"3,80,000",33000 kms,Petrol,Automatic
MARUTI SUZUKI DZIRE,MARUTI,2013,"4,49,999",46000 kms,Diesel,Automatic
HONDA AMAZE 1.5 SX I DTEC,HONDA,2015,"4,45,000",36000 kms,Diesel,Automatic
DATSUN REDI GO S,DATSUN,2017,"3,35,000",16000 kms,Petrol,Automatic
MITSUBISHI PAJERO SPORT LIMITED EDITION,MITSUBISHI,2015,"15,75,000",47000 kms,Diesel,Automatic
MARUTI SUZUKI SWIFT DZIRE ZDI,MARUTI,2014,"4,85,000",35522 kms,Diesel,Automatic
MARUTI SUZUKI SWIFT VDI BSIII,MARUTI,2017,"2,80,000",15487 kms,Petrol,Automatic
MARUTI SUZUKI WAGON R VXI MINOR,MARUTI,2013,"2,05,000",39000 kms,Petrol,Automatic
