name,company,year,Price,kms_driven,fuel_type,transmission
Mahindra Jeep CL550 MDI,Mahindra,2006,"5,25,000",40 kms,Diesel,Automatic
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,"4,25,000","28,000 kms",Petrol,Automatic
Ford EcoSport Titanium 1.5L TDCi,Ford,2015,Ask For Price,"59,000 kms",Diesel,Automatic
Hyundai Eon,Hyundai,2013,"2,90,000","25,000 kms",Petrol,Automatic
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,"3,50,000","60,000 kms",Petrol,Automatic
Maruti Suzuki Stingray VXi,Maruti,2015,"4,15,000","30,000 kms",Petrol,Automatic
Mahindra Scorpio SLE BS IV,Mahindra,2015,"4,20,000","48,660 kms",Diesel,Automatic
Mahindra Jeep CL550 MDI,Mahindra,2006,"5,25,000",40 kms,Diesel,Automatic
Audi Q7,Audi,2014,"6,00,000","16,934 kms",Diesel,Automatic
Maruti Suzuki Alto 800,Maruti,2014,"2,60,000","35,550 kms",Petrol,Automatic
Mahindra Scorpio S10,Mahindra,2016,"4,10,000","39,522 kms",Diesel,Automatic
Hyundai i20 Sportz 1.2,Hyundai,2012,"2,00,000","55,000 kms",Petrol,Automatic
Hyundai i20 Sportz 1.2,Hyundai,2012,"2,00,000","55,000 kms",Petrol,Automatic
Maruti Suzuki Vitara Brezza ZDi,Maruti,2016,"3,90,000","15,975 kms",Diesel,Automatic
Mahindra Bolero DI,Mahindra,2017,"2,80,000","23,452 kms",Diesel,Automatic
Mahindra Scorpio S10 4WD,Mahindra,2015,"3,50,000","48,508 kms",Diesel,Automatic
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,"2,05,000","39,000 kms",Petrol,Automatic
Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012,"7,50,000","82,000 kms",Diesel,Automatic
Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,"5,48,000","68,000 kms",Diesel,Automatic
Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,"6,01,000","38,000 kms",Diesel,Automatic
Honda City 1.5 S MT,Honda,2011,"3,80,000","33,000 kms",Petrol,Automatic
Maruti Suzuki Dzire,Maruti,2013,"4,49,999","46,000 kms",Diesel,Automatic
Honda Amaze 1.5 SX i DTEC,Honda,2015,"4,45,000","36,000 kms",Diesel,Automatic
Datsun Redi GO S,Datsun,2017,"3,35,000","16,000 kms",Petrol,Automatic
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,"15,75,000","47,000 kms",Diesel,Automatic
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,"4,85,000","35,522 kms",Diesel,Automatic
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,"2,80,000","15,487 kms",Petrol,Automatic
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,"2,05,000","39,000 kms",Petrol,Automatic
Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,"3,20,000","30,874 kms",Petrol,Automatic
